age,circularity
21 dpa,0.406778543
21 dpa,0.471120961
21 dpa,0.34606057
21 dpa,0.610707811
21 dpa,0.725822028
21 dpa,0.626151394
21 dpa,0.328049559
21 dpa,0.269267873
21 dpa,0.295939607
21 dpa,0.366263248
21 dpa,0.322948224
21 dpa,0.309307469
21 dpa,0.365063671
21 dpa,0.29569217
21 dpa,0.349369632
21 dpa,0.517436066
21 dpa,0.262994595
21 dpa,0.285191827
21 dpa,0.347276599
21 dpa,0.264877517
21 dpa,0.21051604
21 dpa,0.342182859
21 dpa,0.314142656
21 dpa,0.292491343
21 dpa,0.336927843
21 dpa,0.251457939
21 dpa,0.321241147
21 dpa,0.525381027
21 dpa,0.500294458
21 dpa,0.433666353
21 dpa,0.357565106
21 dpa,0.447375849
21 dpa,0.413518182
21 dpa,0.359918322
21 dpa,0.44834325
21 dpa,0.399269315
21 dpa,0.521545985
21 dpa,0.314225006
21 dpa,0.288550937
21 dpa,0.433036617
21 dpa,0.581433895
21 dpa,0.422463465
21 dpa,0.365041242
21 dpa,0.406263186
21 dpa,0.343718502
28 dpa,0.170529144
28 dpa,0.328038104
28 dpa,0.37262739
28 dpa,0.386817498
28 dpa,0.245906075
28 dpa,0.299342925
28 dpa,0.351853751
28 dpa,0.239905189
28 dpa,0.346517328
28 dpa,0.235759279
28 dpa,0.192107233
28 dpa,0.23594507
28 dpa,0.42271887
28 dpa,0.287338558
28 dpa,0.276947994
28 dpa,0.305749019
28 dpa,0.35090053
28 dpa,0.324530446
28 dpa,0.229630012
28 dpa,0.211140949
28 dpa,0.181088623
28 dpa,0.201670807
28 dpa,0.427763655
28 dpa,0.199445626
28 dpa,0.20786303
28 dpa,0.181968674
28 dpa,0.180252174
28 dpa,0.133396841
28 dpa,0.23286466
28 dpa,0.342143627
28 dpa,0.323634429
28 dpa,0.220397255
28 dpa,0.407227534
28 dpa,0.217119524
28 dpa,0.547061588
28 dpa,0.251399764
28 dpa,0.195751452
28 dpa,0.32487214
28 dpa,0.184640828
28 dpa,0.226084608
28 dpa,0.218140902
28 dpa,0.414535309
35 dpa,0.257423196
35 dpa,0.189610293
35 dpa,0.321219381
35 dpa,0.238609369
35 dpa,0.337758206
35 dpa,0.187395744
35 dpa,0.272686796
35 dpa,0.210969481
35 dpa,0.148733217
35 dpa,0.245162633
35 dpa,0.230801818
35 dpa,0.259625979
35 dpa,0.276513446
35 dpa,0.196897503
35 dpa,0.209115757
35 dpa,0.272375944
35 dpa,0.256955426
35 dpa,0.280521333
35 dpa,0.289798853
35 dpa,0.189228244
35 dpa,0.187111761
35 dpa,0.211825364
35 dpa,0.18257044
35 dpa,0.176018808
35 dpa,0.225975535
35 dpa,0.18633008
35 dpa,0.268450671
35 dpa,0.19890042
35 dpa,0.156658142
35 dpa,0.346084523
35 dpa,0.325372123
35 dpa,0.156240239
35 dpa,0.210787546
35 dpa,0.291101555
35 dpa,0.17160498
35 dpa,0.210556836
42 dpa,0.146435803
42 dpa,0.192035107
42 dpa,0.253163585
42 dpa,0.233460031
42 dpa,0.191238436
42 dpa,0.201133676
42 dpa,0.23392102
42 dpa,0.243829771
42 dpa,0.328789682
42 dpa,0.350491103
42 dpa,0.17752895
42 dpa,0.160280658
42 dpa,0.247981035
42 dpa,0.190312597
42 dpa,0.276551958
42 dpa,0.175599495
42 dpa,0.263442212
42 dpa,0.323571059
42 dpa,0.301763859
42 dpa,0.18930505
42 dpa,0.267447528
42 dpa,0.169674114
42 dpa,0.224317452
42 dpa,0.166613635
42 dpa,0.179911933
42 dpa,0.233246206
42 dpa,0.18921501
42 dpa,0.216403985
42 dpa,0.318668078
42 dpa,0.279436221
42 dpa,0.220398047
42 dpa,0.201189409
42 dpa,0.274333928
42 dpa,0.272640743
42 dpa,0.189536988
42 dpa,0.226454903
42 dpa,0.250045168
42 dpa,0.271473035
42 dpa,0.162437386
42 dpa,0.191855569
42 dpa,0.200368171
